user_id,anime_id,rating,name,genre,type,episodes,members
73424,7785,10,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,122531
59789,19769,6,Mahou Sensou,"Action, Fantasy, Magic",TV,12,104192
55960,59,10,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",TV,26,266846
71461,3342,10,Mnemosyne: Mnemosyne no Musume-tachi,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",TV,6,96092
55390,986,8,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Special,1,46276
21160,14345,10,Btooom!,"Action, Psychological, Sci-Fi, Seinen",TV,12,329561
51693,8312,7,Piece,Music,Music,1,1143
57050,2026,9,Hayate no Gotoku!,"Action, Comedy, Harem, Parody, Romance",TV,52,130085
35577,11759,9,Accel World,"Action, Game, Romance, School, Sci-Fi",TV,24,324284
4574,8675,9,Seitokai Yakuindomo,"Comedy, School, Shounen, Slice of Life",TV,13,217617
38920,7,6,Witch Hunter Robin,"Action, Drama, Magic, Mystery, Police, Supernatural",TV,26,64905
38644,19365,6,Samurai Flamenco,"Action, Comedy, Parody",TV,22,74324
66021,12929,-1,Saint Seiya Omega,"Action, Adventure, Fantasy, Shounen",TV,97,22684
36665,19163,-1,Date A Live II,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,10,186187
61228,2236,9,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,289206
47612,23383,8,D-Frag! OVA,"Comedy, Game, Seinen",OVA,1,28116
10501,953,8,Jyu Oh Sei,"Action, Adventure, Drama, Mystery, Sci-Fi, Shoujo",TV,11,44766
3398,10119,8,Seitokai Yakuindomo OVA,"Comedy, School, Shounen, Slice of Life",OVA,8,63265
43494,6547,8,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,717796
56577,8630,7,Hidan no Aria,"Action, Comedy, Romance, School",TV,12,171888
52017,73,-1,Full Metal Panic! The Second Raid,"Action, Mecha, Military",TV,13,155340
57033,12467,8,Nazo no Kanojo X,"Ecchi, Romance, School, Seinen",TV,13,99788
48981,9617,10,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,115252
28241,164,-1,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,339556
35247,9253,8,Steins;Gate,"Sci-Fi, Thriller",TV,24,673572
44946,10588,-1,Persona 4 the Animation,"Adventure, Mystery, School, Sci-Fi, Super Power, Supernatural",TV,25,134942
44872,4087,9,Michiko to Hatchin,"Action, Adventure",TV,22,82625
46109,198,8,Speed Grapher,"Action, Mystery, Super Power",TV,24,64627
48485,1535,10,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,1013917
21208,9041,10,IS: Infinite Stratos,"Action, Comedy, Harem, Mecha, Sci-Fi",TV,12,254543
29414,20903,9,Harmonie,"Drama, School, Supernatural",Movie,1,29029
16980,11887,8,Kokoro Connect,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,283847
497,27603,10,Jutaijima,Hentai,OVA,2,2345
1843,30379,9,Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,"Comedy, Seinen, Slice of Life",OVA,1,9773
67934,849,-1,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,428569
66792,1887,5,Lucky☆Star,"Comedy, Parody, School, Slice of Life",TV,24,305837
23529,10719,-1,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",TV,12,325664
68139,2155,8,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,"Harem, Romance, School",TV,13,12622
58736,2604,6,Sky Girls,"Mecha, Military, Sci-Fi",TV,26,17115
51999,384,10,Gantz,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13,165335
54001,20,10,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,683297
63710,24991,-1,No Game No Life Specials,"Ecchi, Fantasy, Game",Special,6,58997
20928,28701,10,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,205987
2431,8630,7,Hidan no Aria,"Action, Comedy, Romance, School",TV,12,171888
20081,59,7,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",TV,26,266846
70961,7669,8,&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi,"Comedy, Fantasy, School",OVA,1,14351
68130,121,9,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,600384
701,2001,7,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,562962
22649,16169,4,Choboraunyopomi Gekijou Ai Mai Mii,"Comedy, Slice of Life",TV,13,16846
10212,9919,7,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,583823
36658,6880,7,Deadman Wonderland,"Action, Horror, Sci-Fi",TV,12,453454
57253,696,-1,Tenchi Muyou!,"Comedy, Harem, Romance, Sci-Fi, Shounen, Space",TV,26,38372
